Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 5:48:02,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 5:46:31,1.20,1.15,4.00,0.30,0.30,22.17
오후 5:46:32,1.20,1.15,4.00,0.30,0.30,22.30
오후 5:46:33,1.20,1.15,4.00,0.30,0.30,22.01
오후 5:46:34,1.20,1.15,4.00,0.30,0.30,21.95
오후 5:46:35,1.20,1.15,4.00,0.30,0.30,21.70
오후 5:46:36,1.20,1.15,4.00,0.30,0.30,21.71
오후 5:46:37,1.20,1.15,4.00,0.30,0.30,21.49
오후 5:46:38,1.20,1.15,4.00,0.30,0.30,21.47
오후 5:46:39,1.20,1.15,4.00,0.30,0.30,21.87
오후 5:46:40,1.20,1.15,4.00,0.30,0.30,21.40
오후 5:46:41,1.20,1.15,4.00,0.30,0.30,21.38
오후 5:46:42,1.20,1.16,4.00,0.30,0.30,21.35
오후 5:46:43,1.20,1.16,4.00,0.30,0.30,21.28
오후 5:46:44,1.20,1.16,4.00,0.30,0.30,21.14
오후 5:46:45,1.20,1.16,4.00,0.30,0.30,20.87
오후 5:46:46,1.20,1.16,4.00,0.30,0.30,20.98
오후 5:46:47,1.20,1.16,4.00,0.30,0.30,20.71
오후 5:46:48,1.20,1.16,4.00,0.30,0.30,20.78
오후 5:46:49,1.20,1.16,4.00,0.30,0.30,20.80
오후 5:46:50,1.20,1.16,4.00,0.30,0.30,21.03
오후 5:46:51,1.20,1.16,4.00,0.30,0.30,20.78
오후 5:46:52,1.20,1.16,4.00,0.30,0.30,20.83
오후 5:46:53,1.20,1.16,4.00,0.30,0.30,20.46
오후 5:46:54,1.20,1.16,4.00,0.30,0.30,20.61
오후 5:46:55,1.20,1.16,4.00,0.30,0.30,20.37
오후 5:46:56,1.20,1.16,4.00,0.30,0.30,20.29
오후 5:46:57,1.20,1.17,4.00,0.30,0.30,20.50
오후 5:46:58,1.20,1.16,4.00,0.30,0.30,19.97
오후 5:46:59,1.20,1.16,4.00,0.30,0.30,20.01
오후 5:47:00,1.20,1.16,4.00,0.30,0.30,20.15
오후 5:47:01,1.20,1.16,4.00,0.30,0.30,19.96
오후 5:47:02,1.20,1.17,4.00,0.30,0.30,20.14
오후 5:47:03,1.20,1.17,4.00,0.30,0.30,20.12
오후 5:47:04,1.20,1.17,4.00,0.30,0.30,20.09
오후 5:47:05,1.20,1.17,4.00,0.30,0.30,19.96
오후 5:47:06,1.20,1.17,4.00,0.30,0.30,19.83
오후 5:47:07,1.20,1.17,4.00,0.30,0.30,19.80
오후 5:47:08,1.20,1.17,4.00,0.30,0.30,19.81
오후 5:47:09,1.20,1.17,4.00,0.30,0.30,19.80
오후 5:47:10,1.20,1.17,4.00,0.30,0.30,19.56
오후 5:47:11,1.20,1.17,4.00,0.30,0.30,19.52
오후 5:47:12,1.20,1.17,4.00,0.30,0.30,19.95
오후 5:47:13,1.20,1.18,4.00,0.30,0.30,19.94
오후 5:47:14,1.20,1.18,4.00,0.30,0.30,19.75
오후 5:47:15,1.20,1.18,4.00,0.30,0.30,19.58
오후 5:47:16,1.20,1.18,4.00,0.30,0.30,19.61
오후 5:47:17,1.20,1.18,4.00,0.30,0.30,19.49
오후 5:47:18,1.20,1.18,4.00,0.30,0.30,19.44
오후 5:47:19,1.20,1.18,4.00,0.30,0.30,19.51
오후 5:47:20,1.20,1.18,4.00,0.30,0.30,19.26
오후 5:47:21,1.20,1.18,4.00,0.30,0.30,19.43
오후 5:47:22,1.20,1.18,4.00,0.30,0.30,19.11
오후 5:47:23,1.20,1.18,4.00,0.30,0.30,19.39
오후 5:47:24,1.20,1.18,4.00,0.30,0.30,19.07
오후 5:47:25,1.20,1.18,4.00,0.30,0.30,19.18
오후 5:47:26,1.20,1.18,4.00,0.30,0.30,19.06
오후 5:47:27,1.20,1.18,4.00,0.30,0.30,19.16
오후 5:47:28,1.20,1.18,4.00,0.30,0.30,18.68
오후 5:47:29,1.20,1.18,4.00,0.30,0.30,19.40
오후 5:47:30,1.20,1.18,4.00,0.30,0.30,19.32
오후 5:47:31,1.20,1.18,4.00,0.30,0.30,19.02
오후 5:47:32,1.20,1.18,4.00,0.30,0.30,19.17
오후 5:47:33,1.20,1.18,4.00,0.30,0.30,19.02
오후 5:47:34,1.20,1.19,4.00,0.30,0.30,19.16
오후 5:47:35,1.20,1.19,4.00,0.30,0.30,19.08
오후 5:47:36,1.20,1.18,4.00,0.30,0.30,18.71
오후 5:47:37,1.20,1.18,4.00,0.30,0.30,19.05
오후 5:47:38,1.20,1.19,4.00,0.30,0.30,18.96
오후 5:47:39,1.20,1.19,4.00,0.30,0.30,18.96
오후 5:47:40,1.20,1.18,4.00,0.30,0.30,18.63
오후 5:47:41,1.20,1.18,4.00,0.30,0.30,18.61
오후 5:47:42,1.20,1.19,4.00,0.30,0.30,19.01
오후 5:47:43,1.20,1.18,4.00,0.30,0.30,18.61
오후 5:47:44,1.20,1.19,4.00,0.30,0.30,18.75
오후 5:47:45,1.20,1.18,4.00,0.30,0.30,18.44
오후 5:47:46,1.20,1.18,4.00,0.30,0.30,18.55
오후 5:47:47,1.20,1.18,4.00,0.30,0.30,18.54
오후 5:47:48,1.20,1.19,4.00,0.30,0.30,18.68
오후 5:47:49,1.20,1.19,4.00,0.30,0.30,18.88
오후 5:47:50,1.20,1.19,4.00,0.30,0.30,18.90
오후 5:47:51,1.20,1.19,4.00,0.30,0.30,18.81
오후 5:47:52,1.20,1.19,4.00,0.30,0.30,18.63
오후 5:47:53,1.20,1.19,4.00,0.30,0.30,18.80
오후 5:47:54,1.20,1.19,4.00,0.30,0.30,18.51
오후 5:47:55,1.20,1.19,4.00,0.30,0.30,18.76
오후 5:47:56,1.20,1.19,4.00,0.30,0.30,18.67
오후 5:47:57,1.20,1.19,4.00,0.30,0.30,18.73
오후 5:47:58,1.20,1.19,4.00,0.30,0.30,18.48
오후 5:47:59,1.20,1.19,4.00,0.30,0.30,18.40
오후 5:48:00,1.20,1.19,4.00,0.30,0.30,18.55
오후 5:48:01,1.20,1.19,4.00,0.30,0.30,18.47
오후 5:48:02,1.20,1.19,4.00,0.30,0.30,18.23
