Pressure PID Control Exp.,,,,,,
Experimental Data,Date : 2018-04-18,,,,,
오후 4:46:34,,,,,,
실험시간,설정압력,현재압력,비례 (P),적분 (I),미분 (D),제어출력[%]
오후 4:46:11,1.20,1.18,4.00,0.30,0.30,18.90
오후 4:46:12,1.20,1.19,4.00,0.30,0.30,18.94
오후 4:46:13,1.20,1.19,4.00,0.30,0.30,18.91
오후 4:46:14,1.20,1.19,4.00,0.30,0.30,18.86
오후 4:46:15,1.20,1.19,4.00,0.30,0.30,18.88
오후 4:46:16,1.20,1.19,4.00,0.30,0.30,18.82
오후 4:46:17,1.20,1.19,4.00,0.30,0.30,18.79
오후 4:46:18,1.20,1.19,4.00,0.30,0.30,18.78
오후 4:46:19,1.20,1.19,4.00,0.30,0.30,18.73
오후 4:46:20,1.20,1.19,4.00,0.30,0.30,18.66
오후 4:46:21,1.20,1.19,4.00,0.30,0.30,18.65
오후 4:46:22,1.20,1.19,4.00,0.30,0.30,18.73
오후 4:46:23,1.20,1.19,4.00,0.30,0.30,18.57
오후 4:46:24,1.20,1.19,4.00,0.30,0.30,18.57
오후 4:46:25,1.20,1.19,4.00,0.30,0.30,18.51
오후 4:46:26,1.20,1.19,4.00,0.30,0.30,18.53
오후 4:46:27,1.20,1.19,4.00,0.30,0.30,18.62
오후 4:46:28,1.20,1.19,4.00,0.30,0.30,18.59
오후 4:46:29,1.20,1.19,4.00,0.30,0.30,18.58
오후 4:46:30,1.20,1.19,4.00,0.30,0.30,18.64
오후 4:46:31,1.20,1.19,4.00,0.30,0.30,18.53
오후 4:46:32,1.20,1.19,4.00,0.30,0.30,18.56
오후 4:46:33,1.20,1.19,4.00,0.30,0.30,18.52
오후 4:46:34,1.20,1.19,4.00,0.30,0.30,18.49
